66,28000,Unemployed,Debt,0.6373790744766347
77,236000,Employed,No Debt,0.6629367191949673
59,799000,Employed,Debt,0.6690963799906291
37,260000,Unemployed,Debt,0.6627064345914103
83,48000,Unemployed,No Debt,0.6468444257306842
33,748000,Employed,Debt,0.6490299258283319
18,28000,Employed,No Debt,0.6657202401713336
47,973000,Employed,No Debt,0.6481953536911376
34,51000,Employed,Debt,0.6895180598560611
68,446000,Unemployed,No Debt,0.6667675642551794
60,186000,Employed,Debt,0.6719418990230905
77,269000,Unemployed,No Debt,0.6678782398391931
37,515000,Unemployed,No Debt,0.666134232719388
49,878000,Unemployed,Debt,0.6862467339431187
62,180000,Employed,No Debt,0.663554760186385
19,946000,Unemployed,No Debt,0.6768541801743992
35,713000,Employed,No Debt,0.651669263716009
44,602000,Employed,Debt,0.670006776094292
54,911000,Unemployed,Debt,0.6705867216282261
85,696000,Employed,Debt,0.6751675772820206
68,438000,Employed,Debt,0.6814098076600343
54,102000,Unemployed,Debt,0.6798001929527531
84,400000,Employed,No Debt,0.6730294675126312
32,915000,Employed,No Debt,0.6469841712475444
26,88000,Employed,No Debt,0.6787286766099448
81,433000,Employed,Debt,0.6604118932409649
18,231000,Unemployed,Debt,0.6512271141619115
27,405000,Unemployed,No Debt,0.6878684923704271
27,203000,Unemployed,No Debt,0.6593950373552065
64,216000,Employed,Debt,0.6520485643255581
72,304000,Employed,Debt,0.6689965833423023
22,250000,Employed,Debt,0.652648889920883
83,69000,Unemployed,Debt,0.6913990418250738
50,143000,Unemployed,No Debt,0.6587294663831843
64,241000,Unemployed,Debt,0.6605687422735561
26,981000,Employed,No Debt,0.6796020990370615
75,498000,Employed,Debt,0.6587099597535059
22,421000,Employed,No Debt,0.6722537803696923
71,554000,Unemployed,No Debt,0.6721713115627533
44,221000,Employed,Debt,0.6490571908678268
76,373000,Unemployed,No Debt,0.6794568792927862
18,102000,Employed,Debt,0.7061760517126537
64,445000,Employed,Debt,0.6344395749014136
48,643000,Employed,Debt,0.7097337790640205
34,990000,Employed,Debt,0.6535805100365613
29,932000,Employed,No Debt,0.6780530738139551
80,76000,Employed,No Debt,0.6673100282340002
24,170000,Unemployed,Debt,0.6426788953349629
54,115000,Unemployed,Debt,0.6880852333704938
68,399000,Employed,No Debt,0.6714620972328654
58,553000,Employed,Debt,0.6613659928015848
85,903000,Employed,No Debt,0.6727878283752061
27,996000,Unemployed,No Debt,0.6819046776626134
55,438000,Unemployed,No Debt,0.6685979520637132
84,153000,Employed,No Debt,0.6853250678315884
47,500000,Unemployed,No Debt,0.6672331868843127
66,93000,Unemployed,Debt,0.6684000197008924
84,46000,Unemployed,Debt,0.6807119493320544
64,481000,Employed,Debt,0.675138954870263
68,348000,Employed,Debt,0.6559737475557773
18,794000,Unemployed,No Debt,0.6530353444221135
31,89000,Employed,Debt,0.6796367957534281
63,167000,Employed,Debt,0.672183986563542
64,350000,Unemployed,Debt,0.6614088903591079
44,812000,Employed,No Debt,0.6679831086048229
26,535000,Unemployed,Debt,0.6865600078810192
78,908000,Unemployed,Debt,0.6708430952509012
68,765000,Employed,No Debt,0.6628036933118105
75,398000,Unemployed,No Debt,0.660774937083307
60,345000,Employed,Debt,0.668549391977791
41,598000,Employed,Debt,0.6529105521640797
64,627000,Employed,No Debt,0.6581138421071915
32,124000,Unemployed,No Debt,0.6751254931924683
78,77000,Unemployed,Debt,0.6821192933059236
48,962000,Unemployed,No Debt,0.6802747039461086
65,203000,Employed,No Debt,0.68791125029964
31,946000,Employed,No Debt,0.6428749340097397
58,228000,Employed,Debt,0.6584733580796989
73,952000,Employed,Debt,0.6364513285279765
58,716000,Employed,Debt,0.6488113801561444
41,276000,Unemployed,Debt,0.6611898362103296
54,697000,Unemployed,Debt,0.6620744690806287
78,565000,Employed,No Debt,0.6640082532816178
58,126000,Unemployed,No Debt,0.663138929664262
65,292000,Unemployed,Debt,0.6708854549667379
29,149000,Employed,No Debt,0.6995091648855603
63,105000,Employed,Debt,0.6783689956066543
80,65000,Unemployed,Debt,0.6957486919630892
55,794000,Unemployed,No Debt,0.6719932847617565
59,439000,Unemployed,Debt,0.6799226272601059
38,635000,Unemployed,Debt,0.7035863598185559
72,913000,Unemployed,Debt,0.7064786443260818
71,996000,Unemployed,Debt,0.6682426379168184
66,555000,Unemployed,No Debt,0.6537695451779357
75,511000,Unemployed,Debt,0.6670059488312389
65,157000,Unemployed,Debt,0.6885939921018466
25,338000,Unemployed,No Debt,0.6520918333033473
